speaker,text
R,"¡Hola a todos y bienvenidos a nuestro podcast sobre seguridad de la información! Hoy vamos a hablar sobre algo fundamental: las responsabilidades de cada uno de nosotros, los colaboradores de ARO Y CHAZ, para mantener segura nuestra información y la de nuestros clientes."
S,"Así es. La seguridad de la información es tarea de todos en ARO Y CHAZ. Según nuestras políticas, cada colaborador tiene la responsabilidad de cumplir con el reglamento de protección de datos y la política de comunicación. También debemos cumplir con la política de gestión de identidad y sus procedimientos relacionados."
T,"Empecemos por algo básico: las credenciales y contraseñas. Es fundamental que protejamos nuestras credenciales de identidad y nunca las compartamos con nadie más. Debemos crear y usar contraseñas seguras y confidenciales, que sean complejas, de al menos 12 caracteres que incluyan letras, números y símbolos."
R,"¡Correcto! Nunca envíen contraseñas por correo electrónico o mensaje de texto, ni las mencionen en conversaciones. Eviten escribirlas en computadoras públicas o no seguras. Si usan GSuite o cualquier otro servicio delicado de la organización, deben activar la autenticación de dos factores. Para gestionar contraseñas de forma segura, usamos NordPass."
S,"Sobre el acceso, solo debemos acceder a la información y sistemas que necesitamos para nuestro trabajo, basado en el principio de 'necesidad de saber'. Cualquier intento de acceso no autorizado, actividad sospechosa o incidente de seguridad relacionado con el acceso debe reportarse de inmediato al supervisor o al Responsable de Seguridad de la Información (RSI)."
T,"Pasando al manejo de información, debemos respetar las etiquetas de clasificación como SECRETO, CONFIDENCIAL, PRIVADO y PÚBLICO. Debemos manejar los registros bajo nuestro control de forma adecuada, asegurando que estén completos, precisos y almacenados de forma segura. Cualquier pérdida o daño a los registros debe ser reportado."
R,"Toda información secreta, confidencial o privada debe estar encriptada, ya sea que se encuentre al interior de ARO Y CHAZ o externamente. Y si compartimos información confidencial o privada a terceras personas, siempre debe haber un contrato que describa explícitamente qué información es restringida y cómo puede o no ser usada, como un acuerdo de confidencialidad (NDA)."
S,"También es nuestra responsabilidad manejar la información de carácter personal de manera responsable, cumplir con la política de protección de datos y reportar cualquier incidente de seguridad o violación de datos que involucre datos personales. Y recordemos que la propiedad intelectual de la empresa solo se usa para fines operacionales legítimos, siempre que se tenga la autorización adecuada. Copiar, distribuir o usar propiedad intelectual sin permiso escrito está prohibido."
T,"En nuestro día a día, algo simple pero importante es mantener nuestro puesto de trabajo despejado y la pantalla limpia. Esto significa eliminar de manera segura todos los documentos físicos y digitales que contengan datos sensibles al finalizar cada jornada laboral y asegurar que las pantallas estén bloqueadas o apagadas durante los períodos de inactividad. Cuando un equipo ya no se necesita, se debe seguir la política de reutilización o eliminación segura de equipos."
R,"Si nuestro rol implica el manejo o desarrollo de software, debemos usar las herramientas designadas para el análisis estático y dinámico del código, como SonarQ o GitHub Actions. Asegurarse de que el código desarrollado pase por las fases de pruebas necesarias para verificar su seguridad antes de la implementación o despliegue en producción. Y debemos corregir las vulnerabilidades detectadas en el código."
S,"Si trabajamos con datos de prueba, debemos seguir las directrices establecidas para asegurar su uso seguro y protegido, evitando el uso inapropiado de datos sensibles. Debemos participar en formaciones sobre el uso seguro de datos de prueba."
T,"Reportar eventos de seguridad es crucial. Cualquier persona que detecte o tenga conocimiento de un evento de SI debe reportarlo de inmediato. Se deben reportar a través del chat organizacional al jefe inmediato, solicitando una sesión de revisión urgente. Luego, se levantará la información del reporte vía correo electrónico, copiando a los involucrados en su atención."
R,"Cumplir con estas políticas es vital. Debemos asistir a las sesiones de formación y capacitación sobre el proceso de gestión del cambio y participar en programas de formación y concienciación sobre seguridad de la información. Esto es fundamental para entender los riesgos y cómo mitigarlos. La empresa comunica la importancia de las capacitaciones por diversos medios."
S,"Finalmente, al finalizar nuestra relación con ARO Y CHAZ, tenemos la responsabilidad de devolver los activos de la organización y eliminar la información confidencial. Es importante entender las consecuencias de no cumplir con las responsabilidades de seguridad de la información establecidas."
T,"Toda la información detallada sobre estas políticas está disponible en la intranet de la organización. Asegúrense de consultarla para entender completamente sus responsabilidades."
R,"Estar informados y aplicar estas prácticas de seguridad en nuestro día a día nos protege a todos, protege los activos de la organización y asegura la confianza de nuestros clientes y socios. Gracias por escuchar y por ser parte activa en la seguridad de la información de ARO Y CHAZ. ¡Hasta la próxima!"
